Continent,Country,Cluster,Location,Endemic,pcPop,country_population,Deaths/yr,Exposures/yr,Death rate/ yr,Bite rate/ yr,Year,Incidence,PP,Data source,corrected_Country
Asia,Indonesia,Indonesia,Flores,1,0.80%,"232,517,000",5,3092,0.000002813,0.00174,2007,N,N,Scott-Orr et al. 2010,Indonesia
Asia,Indonesia,Indonesia,Bali,1,1.70%,"232,517,000",31,48491,0.00000797,0.012461,2011,N,N,FAO,Indonesia
Asia,Indonesia,Indonesia,countrywide,1,40.60%,"232,517,000",225,100000,9.628E-07,0.001054,2011,Y,N,Gongal et al 2011,Indonesia
Middle East,Iran (Islamic Republic of),MiddleEast,countrywide,1,100.00%,"75,077,000",2,130531,0.00000003,0.0017386,2009,Y,Y,Aylan et al. 2011. MEEREB meeting 2010,Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,countrywide,1,100.00%,"75,077,000",8,65632,0.00000011,0.0008742,1996,N,N,Zeynali et al. 1999: http://www.ams.ac.ir/aim/9923/zeynali9923.html,Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,countrywide,1,100.00%,"75,077,000",,,,0.0014,2008,N,N,"Alavi et al 2008, Biraji et al 2010, both quoting Fayaz A. The diseases with vector or reservoir: rabies. In: Azizi F, Hatami H, Janghorbani M, editors. Epidemiology and control of prevalent diseases in Iran. 2nd ed. Tehran, Iran: Nashre eshtiagh; 2004. p. 542„57. Extrapolations in Khuzestan equate to ~98/100,000/yr",Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,Kerman province,1,4.10%,"75,077,000",10,3908,0.000004,0.001396,2003,N,N,Rezaeinasab et al 2007,Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,Tehran,1,18.00%,"75,077,000",,2935,,0.00023,2006,N,N,Eslaamifar et al 2008,Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,Birjand,1,0.20%,"75,077,000",,,,0.000867,2009,N,N,Eslaamifar et al 2008,Iran (Islamic Republic of)
Middle East,Iran (Islamic Republic of),MiddleEast,Mazandaran province,1,3.90%,"75,077,000",,,,0.0016,2009,N,N,Najafi et al. 2009,Iran (Islamic Republic of)
Middle East,Iraq,MiddleEast,countrywide,1,100.00%,"31,467,000",22,17936,6.991E-07,0.00057,2007,N,N,"www.rr-middleeast.oie.int/download/pdf/iraqrabies.pdf
",Iraq
Middle East,Iraq,MiddleEast,countrywide,1,100.00%,"31,467,000",28,14475,0.00000089,0.00046,2007,Y,Y,Horton et al. 2013,Iraq
Europe,Ireland ,EU,countrywide,0,100.00%,"4,589,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Ireland 
Europe,Israel,MiddleEast,countrywide,1,100.00%,"7,284,000",0,,,,2009,N,N,Kimron Vet Institute website: http://agri3.huji.ac.il/~yakobson/rabheb/mapa2010.html,Israel
Europe,Italy ,EU,countrywide,0,100.00%,"60,098,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Italy 
Middle East,Jordan,MiddleEast,countrywide,1,100.00%,"6,471,000",,2921,,0.000508,2007,Y,N,"Haddadin et al 2008, www.invs.sante.fr/publications/2008/jvs_2008/22_drrajaa_poster.pdf",Jordan
Africa,Kenya,SADC,Machakos,1,0.40%,"40,863,000",,,0.000025,0.00234,2000,Y,N,"Kitala, 2000",Kenya
Africa,Kenya,SADC,countrywide,1,100.00%,"40,863,000",2,301,0.00000005,0.0000074,2010,N,Y,questionnaires,Kenya
Asia,Republic of Korea,Asia_1,countrywide,1,100.00%,"48,502,000",5,,4.5455E-06,,1993-2003,N,N,Kim C.H 2006,Republic of Korea
Asia,Lao People's Democratic Republic,Asia_2,countrywide,1,100.00%,"6,436,000",8,7120,0.00000124,0.0011063,2007,N,Y,"Kittiphone_etal ASEAN+3, Questionnaires",Lao People's Democratic Republic
Asia,Lao People's Democratic Republic,Asia_2,countrywide,1,100.00%,"6,436,000",,5000,,0.0007769,2010,N,N,"Phounphenghach, AREB 2010",Lao People's Democratic Republic
Asia,Lao People's Democratic Republic,Asia_2,countrywide,1,100.00%,"6,436,000",,8528,,0.001325,2010,Y,N,Kamsing et al. 2012,Lao People's Democratic Republic
Europe,Latvia ,EasternEurope,countrywide,1,100.00%,"2,242,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Latvia 
Middle East,Lebanon,MiddleEast,countrywide,1,100.00%,"4,251,000",2,,0.00000047,,1995-2002,N,N,David et al 2009,Lebanon
Middle East,Lebanon,MiddleEast,countrywide,1,100.00%,"4,251,000",1,440,0.00000016,0.000104,2001-2012,N,Y,Bizri et al. 2013,Lebanon
Europe,Lithuania ,EasternEurope,countrywide,1,100.00%,"3,254,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Lithuania 
Europe,Luxembourg ,EU,countrywide,0,100.00%,"492,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Luxembourg 
Africa,Madagascar,SADC,countrywide,1,100.00%,"20,147,000",4,25000,0.0000002,0.0012409,2008,Y,N,"Dodet B, 2009",Madagascar
Africa,Malawi,SADC,countrywide,1,100.00%,"15,689,000",10,616,,,2010,N,Y,questionnaires,Malawi
Africa,Mali,Francophone,countrywide,1,100.00%,"13,324,000",24,380,0.000002,0.0000285,2008,N,Y,"Dodet B, 2009",Mali
Africa,Mali,Francophone,Bamako,1,19.00%,"13,324,000",,1470,,0.0005809,2003,Y,N,"Epidemiological aspects of human and animal rabies in the urban area of Bamako, Mali. Dao, S. Abdillahi, A. M. Bougoudogo, F. Toure, K. Simbe, C. 2006",Mali
Europe,Malta ,EasternEurope,countrywide,0,100.00%,"408,000",0,,0,,2010,N,N,Rabies Bulletin Europe website,Malta 
Americas,Mexico,CentralAmericaMexico,countrywide,1,100.00%,"110,647,000",4,79750,0.00000004,0.00070992,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Mexico
Americas,Mexico,CentralAmericaMexico,countrywide,1,100.00%,"110,647,000",4,66881,0.00000004,0.0006045,2010,N,N,questionnaires,Mexico
Europe,Moldova ,EasternEurope,countrywide,1,100.00%,3707000,0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Moldova 
Asia,Mongolia,Eurasia,countrywide,1,4.50%,"2,699,000",1,129,0.0000077,0.0010548,2005,Y,Y,Odontsetseg 2009,Mongolia
Africa,Morocco,NorthAfrica,countrywide,1,100.00%,"32,382,000",25,50000,0.0000008,0.0015441,2008,Y,N,"Dodet B, 2009",Morocco
Africa,Morocco,NorthAfrica,countrywide,1,100.00%,"32,382,000",22,20000,0.0000008,0.000618,2009,N,Y,www.rabmedcontrol.org/Communication/.../Rabies%20in%20Morocco.pdf,Morocco
Africa,Mozambique,SADC,countrywide,1,100.00%,"23,409,000",5,1762,0.00000023,0.0000753,2010,N,N,questionnaires,Mozambique
Asia,Myanmar,Asia_2,countrywide,1,100.00%,"50,494,000",1000,50000,0.0000035,0.0009902,pre 2008,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,Myanmar
Asia,Myanmar,Asia_2,countrywide,1,100.00%,"50,494,000",179,16374,0.00000354,0.0003243,2009,N,Y,"WinMayThein_2010AREB.pdf, questionnaires",Myanmar
Asia,Myanmar,Asia_2,countrywide,1,100.00%,"50,494,000",1000,600000,1.98043E-05,0.0118826,2011,Y,N,Gongal et al 2011,Myanmar
Asia,Nepal,Asia_3,countrywide,1,100.00%,"29,852,000",165,35000,0.00000553,0.0011725,1999,N,N,"Kato et al 03, -Rabnet 1999",Nepal
Asia,Nepal,Asia_3,countrywide,1,100.00%,"29,852,000",32,,0.0000021,,2007,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,Nepal
Asia,Nepal,Asia_3,countrywide,1,100.00%,"29,852,000",,20943,0,0.000702,2007,N,N,Riacon 2009,Nepal
Asia,Nepal,Asia_3,countrywide,1,100.00%,"29,852,000",200,30000,6.6997E-06,0.001005,2009,N,Y,"Khatiwada, 2011 - webinar, RIACON 2009 report, country profile 2010",Nepal
Asia,Nepal,Asia_3,countrywide,1,100.00%,"29,852,000",75,100000,3.3499E-06,0.00335,2011,Y,N,Gongal et al 2011,Nepal
Europe,Netherlands,EU,countrywide,0,100.00%,"16,653,000",2,,0.00000012,,2009-2010,N,N,Rabies Bulletin Europe website,Netherlands
Americas,Nicaragua,CentralAmericaMexico,countrywide,1,100.00%,"5,821,000",0,10187,0,0.001760021,2009-2010,Y,N,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Nicaragua
Africa,Niger,Francophone,countrywide,1,100.00%,"15,892,000",3,38,0.0000002,,2008,N,Y,"Dodet B, 2009",Niger
Europe,Norway ,EU,countrywide,0,100.00%,"4,857,000",0,,,,2010,N,N,Rabies Bulletin Europe website,Norway 
Asia,Pakistan,Asia_3,countrywide,1,100.00%,"184,753,000",,97000,,0.000525,2010,N,N,Dr Salma Hafiz - Webinar 2011,Pakistan
Asia,Pakistan,Asia_3,countrywide,1,various,"184,753,000",,,,0.000455,2013,Y,N,Zaidi et al. 2013,Pakistan
Americas,Panama,CentralAmericaMexico,countrywide,1,100.00%,"3,507,000",0,,,,2009-2010,N,N,PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website,Panama
Americas,Paraguay,SouthernCone,countrywide,1,100.00%,"6,459,000",0,12469,,0.001966719,2009-2010,Y,N,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Paraguay
Americas,Peru,Andean,countrywide,1,100.00%,"29,496,000",0,46812,,0.001588898,2009-2010,Y,N,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Peru
Asia,Philippines,Asia_4,countrywide,1,100.00%,"93,616,000",248,55301,0.0000029,0.0005907,2004,N,N,"Dodet B, 2006",Philippines
Asia,Philippines,Asia_4,countrywide,1,100.00%,"93,616,000",243,216624,0.0000026,0.002313963,2009,Y,Y,"Deray, 2009 - AREB",Philippines
Europe,Poland ,EasternEurope,countrywide,1,100.00%,"38,038,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Poland 
Europe,Portugal ,EU,countrywide,0,100.00%,"10,733,000",0,,,,2010,N,N,Rabies Bulletin Europe website,Portugal 
Europe,Romania ,EasternEurope,countrywide,1,100.00%,"21,190,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Romania 
Europe,Russian Federation,Eurasia,countrywide,1,100.00%,"140,367,000",2,,0.00000001,,2009-2010,N,N,Rabies Bulletin Europe website,Russian Federation
Europe,Russian Federation,Eurasia,countrywide,1,100.00%,"140,367,000",15,400000,0.00000011,0.0028497,2009,Y,Y,"S.RYBAKOV, 2009",Russian Federation
Africa,Rwanda,Congo,countrywide,1,100.00%,"10,276,000",0,74,0,0.0000072,2010,N,N,questionnaires,Rwanda
Africa,Senegal,Francophone,countrywide,1,100.00%,"12,860,000",4,842,0.0000003,0.0000655,2008,N,Y,"Dodet B, 2009",Senegal
Africa,Senegal,Francophone,countrywide,1,100.00%,"12,860,000",15,,0.00000117,,2010,N,N,questionnaires,Senegal
